DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific
01/31/1930,,,,,,,,,,,,,,,,,,,,,,,,0.0443254487678,,,,,
02/28/1930,,,,,,,,,,,,,,,,,,,,,,,,-0.015196408764,,,,,
03/31/1930,,,,,,,,,,,,,,,,,,,,,,,,0.0400073260011,,,,,
04/30/1930,,,,,,,,,,,,,,,,,,,,,,,,-0.0395917476487,,,,,
05/31/1930,,,,,,,,,,,,,,,,,,,,,,,,-0.0188262173556,,,,,
06/30/1930,,,,,,,,,,,,,,,,,,,,,,,,0.00598506311236,,,,,
07/31/1930,,,,,,,,,,,,,,,,,,,,,,,,-0.0313321359368,,,,,
08/31/1930,,,,,,,,,,,,,,,,,,,,,,,,-0.0147854078202,,,,,
09/30/1930,,,,,,,,,,,,,,,,,,,,,,,,-0.0535376295833,,,,,
10/31/1930,,,,,,,,,,,,,,,,,,,,,,,,-0.0106453408339,,,,,
11/30/1930,,,,,,,,,,,,,,,,,,,,,,,,-0.0154596650432,,,,,
12/31/1930,,,,,,,,,,,,,,,,,,,,,,,,-0.0791733696207,,,,,
01/31/1931,,,,,,,,,,,,,,,,,,,,,,,,0.139879793897,,,,,
02/28/1931,,,,,,,,,,,,,,,,,,,,,,,,0.0383100680992,,,,,
03/31/1931,,,,,,,,,,,,,,,,,,,,,,,,-0.0855341538324,,,,,
04/30/1931,,,,,,,,,,,,,,,,,,,,,,,,-0.0586591653108,,,,,
05/31/1931,,,,,,,,,,,,,,,,,,,,,,,,-0.0704028946995,,,,,
06/30/1931,,,,,,,,,,,,,,,,,,,,,,,,0.148721365997,,,,,
07/31/1931,,,,,,,,,,,,,,,,,,,,,,,,-0.0318806174269,,,,,
08/31/1931,,,,,,,,,,,,,,,,,,,,,,,,-0.0305571960334,,,,,
09/30/1931,,,,,,,,,,,,,,,,,,,,,,,,-0.0227303410651,,,,,
10/31/1931,,,,,,,,,,,,,,,,,,,,,,,,0.00501605657038,,,,,
11/30/1931,,,,,,,,,,,,,,,,,,,,,,,,-0.101882164426,,,,,
12/31/1931,,,,,,,,,,,,,,,,,,,,,,,,-0.125929502261,,,,,
01/31/1932,,,,,,,,,,,,,,,,,,,,,,,,0.140408771064,,,,,
02/29/1932,,,,,,,,,,,,,,,,,,,,,,,,0.0055338521384,,,,,
03/31/1932,,,,,,,,,,,,,,,,,,,,,,,,-0.0682611149069,,,,,
04/30/1932,,,,,,,,,,,,,,,,,,,,,,,,-0.0626018222115,,,,,
05/31/1932,,,,,,,,,,,,,,,,,,,,,,,,-0.0502538168928,,,,,
06/30/1932,,,,,,,,,,,,,,,,,,,,,,,,0.0125457983901,,,,,
07/31/1932,,,,,,,,,,,,,,,,,,,,,,,,0.406965307037,,,,,
08/31/1932,,,,,,,,,,,,,,,,,,,,,,,,0.498098618009,,,,,
09/30/1932,,,,,,,,,,,,,,,,,,,,,,,,-0.0419882764974,,,,,
10/31/1932,,,,,,,,,,,,,,,,,,,,,,,,-0.0730100472537,,,,,
11/30/1932,,,,,,,,,,,,,,,,,,,,,,,,-0.0554492532046,,,,,
12/31/1932,,,,,,,,,,,,,,,,,,,,,,,,-0.0775820106939,,,,,
01/31/1933,,,,,,,,,,,,,,,,,,,,,,,,0.0402654347708,,,,,
02/28/1933,,,,,,,,,,,,,,,,,,,,,,,,-0.0168764093483,,,,,
03/31/1933,,,,,,,,,,,,,,,,,,,,,,,,0.11638073083,,,,,
04/30/1933,,,,,,,,,,,,,,,,,,,,,,,,0.196738833435,,,,,
05/31/1933,,,,,,,,,,,,,,,,,,,,,,,,0.291417568334,,,,,
06/30/1933,,,,,,,,,,,,,,,,,,,,,,,,0.0988620207182,,,,,
07/31/1933,,,,,,,,,,,,,,,,,,,,,,,,0.0450735751674,,,,,
08/31/1933,,,,,,,,,,,,,,,,,,,,,,,,0.00402069201297,,,,,
09/30/1933,,,,,,,,,,,,,,,,,,,,,,,,-0.0993181169458,,,,,
10/31/1933,,,,,,,,,,,,,,,,,,,,,,,,-0.0355357001539,,,,,
11/30/1933,,,,,,,,,,,,,,,,,,,,,,,,0.0127714463721,,,,,
12/31/1933,,,,,,,,,,,,,,,,,,,,,,,,-0.0305594852117,,,,,
01/31/1934,,,,,,,,,,,,,,,,,,,,,,,,0.165734567882,,,,,
02/28/1934,,,,,,,,,,,,,,,,,,,,,,,,0.0199243739237,,,,,
03/31/1934,,,,,,,,,,,,,,,,,,,,,,,,-0.0336370101638,,,,,
04/30/1934,,,,,,,,,,,,,,,,,,,,,,,,-0.0129970457897,,,,,
05/31/1934,,,,,,,,,,,,,,,,,,,,,,,,-0.0204346783488,,,,,
06/30/1934,,,,,,,,,,,,,,,,,,,,,,,,-0.0157496063717,,,,,
07/31/1934,,,,,,,,,,,,,,,,,,,,,,,,-0.0905185990249,,,,,
08/31/1934,,,,,,,,,,,,,,,,,,,,,,,,0.0220993580214,,,,,
09/30/1934,,,,,,,,,,,,,,,,,,,,,,,,-0.00610121629501,,,,,
10/31/1934,,,,,,,,,,,,,,,,,,,,,,,,-0.0526757970627,,,,,
11/30/1934,,,,,,,,,,,,,,,,,,,,,,,,-0.0435944018935,,,,,
12/31/1934,,,,,,,,,,,,,,,,,,,,,,,,-0.0362743848279,,,,,
01/31/1935,,,,,,,,,,,,,,,,,,,,,,,,-0.0107605416262,,,,,
02/28/1935,,,,,,,,,,,,,,,,,,,,,,,,-0.106683575151,,,,,
03/31/1935,,,,,,,,,,,,,,,,,,,,,,,,-0.0279869736548,,,,,
04/30/1935,,,,,,,,,,,,,,,,,,,,,,,,0.054427253225,,,,,
