DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific
01/31/1961,,,,,,,,,,,,,,,,,,,,,,,,-0.00922205185354,,,,,
02/28/1961,,,,,,,,,,,,,,,,,,,,,,,,-0.0166742453657,,,,,
03/31/1961,,,,,,,,,,,,,,,,,,,,,,,,-0.0128791685021,,,,,
04/30/1961,,,,,,,,,,,,,,,,,,,,,,,,0.00954602197937,,,,,
05/31/1961,,,,,,,,,,,,,,,,,,,,,,,,-0.0108697698369,,,,,
06/30/1961,,,,,,,,,,,,,,,,,,,,,,,,0.0215462102672,,,,,
07/31/1961,,,,,,,,,,,,,,,,,,,,,,,,-0.00963167347191,,,,,
08/31/1961,,,,,,,,,,,,,,,,,,,,,,,,0.0192115150678,,,,,
09/30/1961,,,,,,,,,,,,,,,,,,,,,,,,0.00359985809265,,,,,
10/31/1961,,,,,,,,,,,,,,,,,,,,,,,,0.0366636176248,,,,,
11/30/1961,,,,,,,,,,,,,,,,,,,,,,,,0.00933226100548,,,,,
12/31/1961,,,,,,,,,,,,,,,,,,,,,,,,-0.0164703926834,,,,,
01/31/1962,,,,,,,,,,,,,,,,,,,,,,,,-0.00100821105112,,,,,
02/28/1962,,,,,,,,,,,,,,,,,,,,,,,,0.0147874582351,,,,,
03/31/1962,,,,,,,,,,,,,,,,,,,,,,,,-0.0039694113878,,,,,
04/30/1962,,,,,,,,,,,,,,,,,,,,,,,,0.0161237094951,,,,,
05/31/1962,,,,,,,,,,,,,,,,,,,,,,,,0.00134653191421,,,,,
06/30/1962,,,,,,,,,,,,,,,,,,,,,,,,-0.00757479865427,,,,,
07/31/1962,,,,,,,,,,,,,,,,,,,,,,,,-0.00755097054638,,,,,
08/31/1962,,,,,,,,,,,,,,,,,,,,,,,,0.000366378457358,,,,,
09/30/1962,,,,,,,,,,,,,,,,,,,,,,,,0.00545462895796,,,,,
10/31/1962,,,,,,,,,,,,,,,,,,,,,,,,0.00546162401845,,,,,
11/30/1962,,,,,,,,,,,,,,,,,,,,,,,,-0.0242663543427,,,,,
12/31/1962,,,,,,,,,,,,,,,,,,,,,,,,0.00878043177781,,,,,
01/31/1963,,,,,,,,,,,,,,,,,,,,,,,,-0.0139473721972,,,,,
02/28/1963,,,,,,,,,,,,,,,,,,,,,,,,-0.00581593109344,,,,,
